YOLOv5n Object Detection Results on Raspberry Pi
Classes monitored: ['person', 'cup', 'bottle', 'toothbrush', 'book', 'keyboard', 'mouse', 'scissors']
Frame,Timestamp,person_count,person_conf,cup_count,cup_conf,bottle_count,bottle_conf,toothbrush_count,toothbrush_conf,book_count,book_conf,keyboard_count,keyboard_conf,mouse_count,mouse_conf,scissors_count,scissors_conf
0,09:42:18.124,1,0.5426,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
1,09:42:22.356,1,0.5983,1,0.4172,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
2,09:42:26.584,1,0.5872,1,0.4365,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
3,09:42:30.815,1,0.5614,1,0.4289,0,0.0000,0,0.0000,0,0.0000,1,0.3984,0,0.0000,0,0.0000
4,09:42:35.041,1,0.5892,1,0.4120,0,0.0000,0,0.0000,0,0.0000,1,0.4256,1,0.3872,0,0.0000
5,09:42:39.270,1,0.5243,0,0.0000,1,0.4532,0,0.0000,0,0.0000,1,0.4325,1,0.4127,0,0.0000
6,09:42:43.498,1,0.5730,0,0.0000,1,0.4618,0,0.0000,1,0.3846,1,0.4281,1,0.4298,0,0.0000
7,09:42:47.729,1,0.6124,0,0.0000,1,0.4501,1,0.3784,1,0.4032,1,0.4109,1,0.4215,0,0.0000
8,09:42:51.956,1,0.5684,0,0.0000,1,0.4592,1,0.3916,1,0.4175,1,0.4063,1,0.4168,1,0.3764
9,09:42:56.185,1,0.5841,0,0.0000,1,0.4476,1,0.4023,1,0.4091,1,0.4172,1,0.4207,1,0.3926

YOLOv5n Object Detection Results on Jetson Nano
Classes monitored: ['person', 'cup', 'bottle', 'toothbrush', 'book', 'keyboard', 'mouse', 'scissors']
Frame,Timestamp,person_count,person_conf,cup_count,cup_conf,bottle_count,bottle_conf,toothbrush_count,toothbrush_conf,book_count,book_conf,keyboard_count,keyboard_conf,mouse_count,mouse_conf,scissors_count,scissors_conf
0,14:23:47.164,1,0.6892,1,0.5786,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
1,14:23:50.376,1,0.7215,1,0.5943,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
2,14:23:53.584,1,0.7362,1,0.6024,1,0.5613,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
3,14:23:56.795,1,0.7158,1,0.5897,1,0.5784,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
4,14:24:00.003,1,0.7421,1,0.6175,1,0.5826,0,0.0000,1,0.5428,0,0.0000,0,0.0000,0,0.0000
5,14:24:03.215,1,0.7265,1,0.6043,1,0.5722,0,0.0000,1,0.5687,1,0.6124,0,0.0000,0,0.0000
6,14:24:06.427,1,0.7389,1,0.6152,1,0.5845,0,0.0000,1,0.5845,1,0.6273,1,0.5528,0,0.0000
7,14:24:09.632,1,0.7528,0,0.0000,1,0.5761,0,0.0000,1,0.5723,1,0.6352,1,0.5684,0,0.0000
8,14:24:12.844,1,0.7436,0,0.0000,1,0.5812,0,0.0000,1,0.5896,1,0.6217,1,0.5725,0,0.0000
9,14:24:16.053,1,0.7512,0,0.0000,1,0.5776,0,0.0000,1,0.5754,1,0.6189,1,0.5643,0,0.0000
